№,source,url,city,price,телефон,adress,площа,кількість кімнат,поверх,поверховість,балкон,район,км від центру,url_google_maps,дата публікації,ремонт,опис
1,REM.ua,https://example.com/listing-1,Одеса,42000,,"Sample address, Одеса",45,1,9,12,так,Київський,7.3,https://www.google.com/maps/search/?api=1&query=Одеса,2026-05-15 13:21:00,під ремонт,Anonymized portfolio sample row. Real listing text is excluded from the public repository.
2,REM.ua,https://example.com/listing-2,Одеса,38000,,"Sample address, Одеса",48.2,2,9,9,,Хаджибейський (Малиновський),2.6,https://www.google.com/maps/search/?api=1&query=Одеса,2026-05-11 21:05:00,під ремонт,Anonymized portfolio sample row. Real listing text is excluded from the public repository.
3,REM.ua,https://example.com/listing-3,Дніпро,35000,,"Sample address, Дніпро",47,2,8,9,так,Соборний (Жовтневий),6.2,https://www.google.com/maps/search/?api=1&query=Дніпро,2026-05-14 10:43:00,косметичний ремонт,Anonymized portfolio sample row. Real listing text is excluded from the public repository.
4,REM.ua,https://example.com/listing-4,Дніпро,42000,,"Sample address, Дніпро",62,3,7,9,так,Індустріальний,7.2,https://www.google.com/maps/search/?api=1&query=Дніпро,2026-05-14 10:43:00,євроремонт,Anonymized portfolio sample row. Real listing text is excluded from the public repository.
5,REM.ua,https://example.com/listing-5,Дніпро,45000,,"Sample address, Дніпро",51,2,3,10,так,Амур-Нижньодніпровський,3.2,https://www.google.com/maps/search/?api=1&query=Дніпро,2026-05-14 10:42:00,косметичний ремонт,Anonymized portfolio sample row. Real listing text is excluded from the public repository.
6,REM.ua,https://example.com/listing-6,Дніпро,38500,,"Sample address, Дніпро",46,2,5,5,,Індустріальний,5.9,https://www.google.com/maps/search/?api=1&query=Дніпро,2026-05-14 10:41:00,косметичний ремонт,Anonymized portfolio sample row. Real listing text is excluded from the public repository.
7,REM.ua,https://example.com/listing-7,Дніпро,38000,,"Sample address, Дніпро",49,2,5,9,так,Індустріальний,5.2,https://www.google.com/maps/search/?api=1&query=Дніпро,2026-05-14 10:16:00,євроремонт,Anonymized portfolio sample row. Real listing text is excluded from the public repository.
8,REM.ua,https://example.com/listing-8,Дніпро,36996,,"Sample address, Дніпро",58.8,3,3,9,,Амур-Нижньодніпровський,3.0,https://www.google.com/maps/search/?api=1&query=Дніпро,2026-05-14 10:15:00,косметичний ремонт,Anonymized portfolio sample row. Real listing text is excluded from the public repository.
